GeneID,Symbol,Description,FullGeneName
137806323,LOC137806323,pentatricopeptide repeat-containing protein At5g18950,pentatricopeptide repeat-containing protein At5g18950
137806324,LOC137806324,uncharacterized LOC137806324,ERROR
137806325,LOC137806325,sugar carrier protein C-like,ERROR
137806326,LOC137806326,UDP-glycosyltransferase 89A2,ERROR
137806327,LOC137806327,uncharacterized LOC137806327,uncharacterized LOC137806327
137806328,LOC137806328,GDSL esterase/lipase At2g03980,GDSL esterase/lipase At2g03980
137806329,LOC137806329,uncharacterized LOC137806329,uncharacterized LOC137806329
137806330,LOC137806330,"transketolase, chloroplastic","transketolase, chloroplastic"
137806331,LOC137806331,phosphatidylinositol 4-kinase gamma 5-like,phosphatidylinositol 4-kinase gamma 5-like
137806332,LOC137806332,rhamnogalacturonan I rhamnosyltransferase 1-like,ERROR
137806333,LOC137806333,transcription factor BIM2,transcription factor BIM2
137806334,LOC137806334,uncharacterized mitochondrial protein AtMg00810-like,uncharacterized mitochondrial protein AtMg00810-like
137806335,LOC137806335,uncharacterized LOC137806335,uncharacterized LOC137806335
137806336,LOC137806336,uncharacterized LOC137806336,uncharacterized LOC137806336
137806337,LOC137806337,uncharacterized LOC137806337,uncharacterized LOC137806337
137806338,LOC137806338,uncharacterized LOC137806338,uncharacterized LOC137806338
137806339,LOC137806339,uncharacterized LOC137806339,uncharacterized LOC137806339
137806340,LOC137806340,ACT domain-containing protein ACR4,ERROR
137806341,LOC137806341,uncharacterized LOC137806341,ERROR
137806342,LOC137806342,receptor-like protein kinase FERONIA,receptor-like protein kinase FERONIA
137806343,LOC137806343,receptor-like protein kinase FERONIA,receptor-like protein kinase FERONIA
137806344,LOC137806344,uncharacterized LOC137806344,uncharacterized LOC137806344
137806345,LOC137806345,uncharacterized LOC137806345,ERROR
137806346,LOC137806346,uncharacterized LOC137806346,ERROR
137806347,LOC137806347,agamous-like MADS-box protein MADS2,ERROR
137806348,LOC137806348,protein BIG GRAIN 1-like E,protein BIG GRAIN 1-like E
137806349,LOC137806349,squamosa promoter-binding-like protein 6,squamosa promoter-binding-like protein 6
137806350,LOC137806350,transcriptional elongation regulator MINIYO,transcriptional elongation regulator MINIYO
137806351,LOC137806351,probable methyltransferase TCM_000336,probable methyltransferase TCM_000336
137806352,LOC137806352,probable UDP-arabinopyranose mutase 1,probable UDP-arabinopyranose mutase 1
137806353,LOC137806353,LRR receptor-like serine/threonine-protein kinase RGI1,ERROR
137806354,LOC137806354,primary amine oxidase-like,primary amine oxidase-like
137806355,LOC137806355,cytochrome b5,ERROR
137806356,LOC137806356,uncharacterized LOC137806356,uncharacterized LOC137806356
137806357,LOC137806357,"fructokinase-like 2, chloroplastic","fructokinase-like 2, chloroplastic"
137806358,LOC137806358,probable 6-phosphogluconolactonase 2,ERROR
137806359,LOC137806359,uncharacterized LOC137806359,uncharacterized LOC137806359
137806360,LOC137806360,serine/threonine-protein kinase 1,serine/threonine-protein kinase 1
137806361,LOC137806361,cytochrome P450 78A5,ERROR
137806362,LOC137806362,U4/U6 small nuclear ribonucleoprotein Prp31 homolog,ERROR
137806363,LOC137806363,uncharacterized LOC137806363,uncharacterized LOC137806363
137806364,LOC137806364,cell division control protein 48 homolog B,cell division control protein 48 homolog B
137806365,LOC137806365,uncharacterized LOC137806365,uncharacterized LOC137806365
137806366,LOC137806366,protein SPIRAL1-like 1,protein SPIRAL1-like 1
137806367,LOC137806367,pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH10,pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH10
137806368,LOC137806368,ninja-family protein AFP3,ninja-family protein AFP3
137806369,LOC137806369,uncharacterized LOC137806369,uncharacterized LOC137806369
137806370,LOC137806370,pentatricopeptide repeat-containing protein At1g69290,pentatricopeptide repeat-containing protein At1g69290
137806371,LOC137806371,probable inactive purple acid phosphatase 1,probable inactive purple acid phosphatase 1
137806372,LOC137806372,magnesium transporter MRS2-5,magnesium transporter MRS2-5
137806373,LOC137806373,protein root UVB sensitive 3,ERROR
137806374,LOC137806374,"pentatricopeptide repeat-containing protein At5g50280, chloroplastic-like",ERROR
137806375,LOC137806375,uncharacterized LOC137806375,uncharacterized LOC137806375
137806376,LOC137806376,7-deoxyloganetin glucosyltransferase-like,7-deoxyloganetin glucosyltransferase-like
137806377,LOC137806377,ureide permease 1-like,ureide permease 1-like
137806378,LOC137806378,probable ureide permease A3,probable ureide permease A3
137806379,LOC137806379,alpha/beta hydrolase domain-containing protein VTE7-like,alpha/beta hydrolase domain-containing protein VTE7-like
137806380,LOC137806380,proline-rich receptor-like protein kinase PERK2,proline-rich receptor-like protein kinase PERK2
137806381,LOC137806381,PLASMODESMATA CALLOSE-BINDING PROTEIN 4-like,PLASMODESMATA CALLOSE-BINDING PROTEIN 4-like
137806382,LOC137806382,"pentatricopeptide repeat-containing protein At1g26460, mitochondrial","pentatricopeptide repeat-containing protein At1g26460, mitochondrial"
137806383,LOC137806383,14-3-3-like protein GF14 iota,14-3-3-like protein GF14 iota
137806384,LOC137806384,probable methyltransferase PMT5,ERROR
137806385,LOC137806385,putative pentatricopeptide repeat-containing protein At1g26500,ERROR
137806386,LOC137806386,uncharacterized LOC137806386,uncharacterized LOC137806386
137806387,LOC137806387,UDP-glucose 6-dehydrogenase 4,UDP-glucose 6-dehydrogenase 4
137806388,LOC137806388,uncharacterized LOC137806388,uncharacterized LOC137806388
137806389,LOC137806389,uncharacterized mitochondrial protein AtMg00810-like,uncharacterized mitochondrial protein AtMg00810-like
137806390,LOC137806390,uncharacterized LOC137806390,ERROR
137806391,LOC137806391,choline/ethanolaminephosphotransferase 1-like,ERROR
137806392,LOC137806392,protein NSP-INTERACTING KINASE 1-like,ERROR
137806393,LOC137806393,uncharacterized threonine-rich GPI-anchored glycoprotein PJ4664.02-like,uncharacterized threonine-rich GPI-anchored glycoprotein PJ4664.02-like
137806394,LOC137806394,F-box/FBD/LRR-repeat protein At1g13570,F-box/FBD/LRR-repeat protein At1g13570
137806395,LOC137806395,formiminotransferase cyclodeaminase-like protein,formiminotransferase cyclodeaminase-like protein
137806396,LOC137806396,inorganic pyrophosphatase TTM2-like,inorganic pyrophosphatase TTM2-like
137806397,LOC137806397,S-adenosylmethionine decarboxylase proenzyme,S-adenosylmethionine decarboxylase proenzyme
137806398,LOC137806398,uncharacterized LOC137806398,uncharacterized LOC137806398
137806399,LOC137806399,uncharacterized LOC137806399,uncharacterized LOC137806399
137806400,LOC137806400,uncharacterized LOC137806400,uncharacterized LOC137806400
137806401,LOC137806401,rRNA-processing protein fcf2-like,rRNA-processing protein fcf2-like
137806402,LOC137806402,uncharacterized LOC137806402,ERROR
137806403,LOC137806403,NAC transcription factor 29-like,ERROR
137806404,LOC137806404,2-hydroxy-palmitic acid dioxygenase MPO1-like,ERROR
137806405,LOC137806405,protein SHORT ROOT IN SALT MEDIUM 1,protein SHORT ROOT IN SALT MEDIUM 1
137806406,LOC137806406,uncharacterized LOC137806406,uncharacterized LOC137806406
137806407,LOC137806407,"photosynthetic NDH subunit of lumenal location 2, chloroplastic","photosynthetic NDH subunit of lumenal location 2, chloroplastic"
137806408,LOC137806408,CASP-like protein 7,CASP-like protein 7
137806409,LOC137806409,uncharacterized LOC137806409,uncharacterized LOC137806409
137806410,LOC137806410,protein MAIN-LIKE 2-like,ERROR
137806411,LOC137806411,transcription factor MYB106-like,transcription factor MYB106-like
137806412,LOC137806412,uncharacterized LOC137806412,uncharacterized LOC137806412
137806413,LOC137806413,uncharacterized LOC137806413,ERROR
137806414,LOC137806414,protein argonaute 7,protein argonaute 7
137806415,LOC137806415,scopoletin glucosyltransferase-like,scopoletin glucosyltransferase-like
137806416,LOC137806416,probable UDP-glucosyl transferase 73B6,probable UDP-glucosyl transferase 73B6
137806417,LOC137806417,abscisate beta-glucosyltransferase,ERROR
137806418,LOC137806418,"probable cadmium/zinc-transporting ATPase HMA1, chloroplastic",ERROR
137806419,LOC137806419,PKS-NRPS hybrid synthetase cheA-like,ERROR
137806420,LOC137806420,filament-like plant protein 7,filament-like plant protein 7
137806421,LOC137806421,small ribosomal subunit protein uS9-like,small ribosomal subunit protein uS9-like
137806422,LOC137806422,"CBS domain-containing protein CBSX1, chloroplastic-like","CBS domain-containing protein CBSX1, chloroplastic-like"
137806423,LOC137806423,polyadenylate-binding protein 2-like,polyadenylate-binding protein 2-like
137806424,LOC137806424,probable E3 ubiquitin ligase SUD1,probable E3 ubiquitin ligase SUD1
137806425,LOC137806425,uncharacterized LOC137806425,uncharacterized LOC137806425
137806426,LOC137806426,caffeoyl-CoA O-methyltransferase,caffeoyl-CoA O-methyltransferase
137806427,LOC137806427,U-box domain-containing protein 26,U-box domain-containing protein 26
137806428,LOC137806428,PI-PLC X domain-containing protein At5g67130-like,PI-PLC X domain-containing protein At5g67130-like
137806429,LOC137806429,probable receptor-like protein kinase At1g49730,probable receptor-like protein kinase At1g49730
137806430,LOC137806430,uncharacterized LOC137806430,uncharacterized LOC137806430
137806431,LOC137806431,"thioredoxin M3, chloroplastic-like","thioredoxin M3, chloroplastic-like"
137806432,LOC137806432,protein ALP1-like,protein ALP1-like
137806433,LOC137806433,uncharacterized protein At4g22758-like,uncharacterized protein At4g22758-like
137806434,LOC137806434,uncharacterized LOC137806434,uncharacterized LOC137806434
137806435,LOC137806435,uncharacterized LOC137806435,ERROR
137806436,LOC137806436,"transcription termination factor MTERF5, chloroplastic",ERROR
137806437,LOC137806437,uncharacterized LOC137806437,ERROR
137806438,LOC137806438,probable membrane-associated kinase regulator 6,probable membrane-associated kinase regulator 6
137806439,LOC137806439,delta(8)-fatty-acid desaturase 2-like,delta(8)-fatty-acid desaturase 2-like
137806440,LOC137806440,cullin-3A-like,cullin-3A-like
137806441,LOC137806441,probable hexosyltransferase MUCI70,probable hexosyltransferase MUCI70
137806442,LOC137806442,uncharacterized LOC137806442,uncharacterized LOC137806442
137806443,LOC137806443,"APO protein 2, chloroplastic-like","APO protein 2, chloroplastic-like"
137806444,LOC137806444,protein PHYTOCHROME KINASE SUBSTRATE 1-like,protein PHYTOCHROME KINASE SUBSTRATE 1-like
137806445,LOC137806445,uncharacterized LOC137806445,ERROR
137806446,LOC137806446,probable methyltransferase PMT2,ERROR
137806447,LOC137806447,uncharacterized LOC137806447,uncharacterized LOC137806447
137806448,LOC137806448,beta-galactosidase 9,beta-galactosidase 9
137806449,LOC137806449,uncharacterized LOC137806449,uncharacterized LOC137806449
137806450,LOC137806450,uncharacterized LOC137806450,uncharacterized LOC137806450
137806451,LOC137806451,probable magnesium transporter NIPA1,probable magnesium transporter NIPA1
137806452,LOC137806452,uncharacterized LOC137806452,uncharacterized LOC137806452
137806453,LOC137806453,"chaperone protein dnaJ 20, chloroplastic","chaperone protein dnaJ 20, chloroplastic"
137806454,LOC137806454,protein ECERIFERUM 26-like,protein ECERIFERUM 26-like
137806455,LOC137806455,uncharacterized LOC137806455,uncharacterized LOC137806455
137806456,LOC137806456,uncharacterized LOC137806456,uncharacterized LOC137806456
137806457,LOC137806457,subtilisin-like protease SBT5.3,subtilisin-like protease SBT5.3
137806458,LOC137806458,serine hydroxymethyltransferase 4-like,serine hydroxymethyltransferase 4-like
137806459,LOC137806459,uncharacterized LOC137806459,ERROR
137806460,LOC137806460,"probable acyl-activating enzyme 16, chloroplastic",ERROR
137806461,LOC137806461,adenosylhomocysteinase,ERROR
137806462,LOC137806462,2-hydroxyisoflavanone synthase-like,2-hydroxyisoflavanone synthase-like
137806463,LOC137806463,disease resistance protein RUN1-like,disease resistance protein RUN1-like
137806464,LOC137806464,2-hydroxyisoflavanone synthase,2-hydroxyisoflavanone synthase
137806465,LOC137806465,2-hydroxyisoflavanone synthase-like,ERROR
137806466,LOC137806466,polygalacturonase 1 beta-like protein 1,ERROR
137806467,LOC137806467,F-box protein SKIP16,ERROR
137806468,LOC137806468,uncharacterized LOC137806468,uncharacterized LOC137806468
137806469,LOC137806469,ubiquitin-like-specific protease 1D,ubiquitin-like-specific protease 1D
137806470,LOC137806470,proline-rich receptor-like protein kinase PERK3,proline-rich receptor-like protein kinase PERK3
137806471,LOC137806471,probable xyloglucan endotransglucosylase/hydrolase protein 33,ERROR
137806472,LOC137806472,"benzaldehyde dehydrogenase, mitochondrial",ERROR
137806473,LOC137806473,spermidine synthase 2,ERROR
137806474,LOC137806474,uncharacterized LOC137806474,uncharacterized LOC137806474
137806475,LOC137806475,uncharacterized LOC137806475,uncharacterized LOC137806475
137806476,LOC137806476,putative potassium transporter 12,putative potassium transporter 12
137806477,LOC137806477,potassium transporter 6-like,potassium transporter 6-like
137806478,LOC137806478,"probable alpha,alpha-trehalose-phosphate synthase [UDP-forming] 10","probable alpha,alpha-trehalose-phosphate synthase [UDP-forming] 10"
137806479,LOC137806479,uncharacterized LOC137806479,uncharacterized LOC137806479
137806480,LOC137806480,uncharacterized LOC137806480,ERROR
137806481,LOC137806481,AP-1 complex subunit gamma-2-like,ERROR
137806482,LOC137806482,uncharacterized LOC137806482,ERROR
137806483,LOC137806483,RING-H2 finger protein ATL47-like,RING-H2 finger protein ATL47-like
137806484,LOC137806484,transcription factor PAR2-like,transcription factor PAR2-like
137806485,LOC137806485,gluconokinase-like,gluconokinase-like
137806486,LOC137806486,uncharacterized LOC137806486,uncharacterized LOC137806486
137806487,LOC137806487,uncharacterized LOC137806487,uncharacterized LOC137806487
137806488,LOC137806488,transcription factor SRM1-like,transcription factor SRM1-like
137806489,LOC137806489,gluconokinase-like,ERROR
137806490,LOC137806490,uncharacterized LOC137806490,ERROR
137806491,LOC137806491,nucleobase-ascorbate transporter 6-like,ERROR
137806492,LOC137806492,uncharacterized LOC137806492,uncharacterized LOC137806492
137806493,LOC137806493,"protein PLASTID REDOX INSENSITIVE 2, chloroplastic-like","protein PLASTID REDOX INSENSITIVE 2, chloroplastic-like"
137806494,LOC137806494,uncharacterized LOC137806494,uncharacterized LOC137806494
137806495,LOC137806495,cyclin-D1-1-like,cyclin-D1-1-like
137806496,LOC137806496,uncharacterized LOC137806496,uncharacterized LOC137806496
137806497,LOC137806497,uncharacterized LOC137806497,uncharacterized LOC137806497
137806498,LOC137806498,"protein PLASTID REDOX INSENSITIVE 2, chloroplastic-like","protein PLASTID REDOX INSENSITIVE 2, chloroplastic-like"
137806499,LOC137806499,uncharacterized protein At4g14342,uncharacterized protein At4g14342
137806500,LOC137806500,probable inactive purple acid phosphatase 1,probable inactive purple acid phosphatase 1
137806501,LOC137806501,DEAD-box ATP-dependent RNA helicase 22,ERROR
137806502,LOC137806502,IAA-amino acid hydrolase ILR1-like 4,ERROR
137806503,LOC137806503,gibberellin-regulated protein 1-like,ERROR
137806504,LOC137806504,metalloendoproteinase 2-MMP-like,metalloendoproteinase 2-MMP-like
137806505,LOC137806505,uncharacterized LOC137806505,uncharacterized LOC137806505
137806506,LOC137806506,two-component response regulator ORR5-like,two-component response regulator ORR5-like
137806507,LOC137806507,formin-like protein 4,formin-like protein 4
137806508,LOC137806508,protein WVD2-like 7,protein WVD2-like 7
137806509,LOC137806509,"pyruvate dehydrogenase E1 component subunit alpha, mitochondrial-like","pyruvate dehydrogenase E1 component subunit alpha, mitochondrial-like"
137806510,LOC137806510,uncharacterized LOC137806510,ERROR
137806511,LOC137806511,paired amphipathic helix protein Sin3-like 4,ERROR
137806512,LOC137806512,GDSL esterase/lipase At5g45960-like,ERROR
137806513,LOC137806513,negative regulator of systemic acquired resistance SNI1,negative regulator of systemic acquired resistance SNI1
137806514,LOC137806514,peroxidase 19,peroxidase 19
137806515,LOC137806515,glutamate receptor 2.7-like,glutamate receptor 2.7-like
137806516,LOC137806516,uncharacterized LOC137806516,uncharacterized LOC137806516
137806517,LOC137806517,apoptosis inhibitor 5-like protein API5,apoptosis inhibitor 5-like protein API5
137806518,LOC137806518,"nudix hydrolase 15, mitochondrial-like","nudix hydrolase 15, mitochondrial-like"
137806519,LOC137806519,protein IQ-DOMAIN 9-like,protein IQ-DOMAIN 9-like
137806520,LOC137806520,"magnesium-chelatase subunit ChlI, chloroplastic-like","magnesium-chelatase subunit ChlI, chloroplastic-like"
137806521,LOC137806521,dolichol-phosphate mannosyltransferase subunit 1,dolichol-phosphate mannosyltransferase subunit 1
137806522,LOC137806522,uncharacterized protein At4g18490,uncharacterized protein At4g18490
137806523,LOC137806523,phospholipase A1-IIgamma-like,ERROR
137806524,LOC137806524,phospholipase A1-IIgamma-like,phospholipase A1-IIgamma-like
137806525,LOC137806525,protein INCREASED PETAL GROWTH ANISOTROPY 1,protein INCREASED PETAL GROWTH ANISOTROPY 1
137806526,LOC137806526,protein trichome birefringence-like 37,protein trichome birefringence-like 37
137806527,LOC137806527,uncharacterized LOC137806527,uncharacterized LOC137806527
137806528,LOC137806528,formin-like protein 1,ERROR
137806529,LOC137806529,"acyl-coenzyme A thioesterase 2, chloroplastic-like",ERROR
137806530,LOC137806530,UBP1-associated protein 2C-like,ERROR
137806531,LOC137806531,U-box domain-containing protein 7-like,U-box domain-containing protein 7-like
137806532,LOC137806532,transcription factor bHLH30-like,transcription factor bHLH30-like
137806533,LOC137806533,mediator of RNA polymerase II transcription subunit 25-like,mediator of RNA polymerase II transcription subunit 25-like
137806534,LOC137806534,uncharacterized LOC137806534,uncharacterized LOC137806534
137806535,LOC137806535,mitogen-activated protein kinase homolog MMK1,mitogen-activated protein kinase homolog MMK1
137806536,LOC137806536,uncharacterized LOC137806536,uncharacterized LOC137806536
137806537,LOC137806537,uncharacterized LOC137806537,uncharacterized LOC137806537
137806538,LOC137806538,probable phosphoinositide phosphatase SAC9,ERROR
137806539,LOC137806539,uncharacterized LOC137806539,ERROR
137806540,LOC137806540,(+)-neomenthol dehydrogenase,(+)-neomenthol dehydrogenase
137806541,LOC137806541,cysteine synthase,ERROR
137806542,LOC137806542,"NADPH-dependent alkenal/one oxidoreductase, chloroplastic-like","NADPH-dependent alkenal/one oxidoreductase, chloroplastic-like"
137806543,LOC137806543,carbonic anhydrase 2-like,carbonic anhydrase 2-like
137806544,LOC137806544,proline-rich receptor-like protein kinase PERK13,proline-rich receptor-like protein kinase PERK13
137806545,LOC137806545,transcription factor bHLH90,transcription factor bHLH90
137806546,LOC137806546,uncharacterized LOC137806546,ERROR
137806547,LOC137806547,proteasome subunit beta type-1,proteasome subunit beta type-1
137806548,LOC137806548,uncharacterized LOC137806548,uncharacterized LOC137806548
137806549,LOC137806549,pantothenate kinase 1,ERROR
137806550,LOC137806550,uncharacterized LOC137806550,uncharacterized LOC137806550
137806551,LOC137806551,probable nucleoredoxin 1,ERROR
137806552,LOC137806552,ADP-ribosylation factor 2,ADP-ribosylation factor 2
137806553,LOC137806553,"1,4-dihydroxy-2-naphthoyl-CoA synthase, peroxisomal","1,4-dihydroxy-2-naphthoyl-CoA synthase, peroxisomal"
137806554,LOC137806554,polygalacturonase At1g48100-like,polygalacturonase At1g48100-like
137806555,LOC137806555,uncharacterized LOC137806555,uncharacterized LOC137806555
137806556,LOC137806556,putative pentatricopeptide repeat-containing protein At3g05240,putative pentatricopeptide repeat-containing protein At3g05240
137806557,LOC137806557,probable polygalacturonase At1g80170,probable polygalacturonase At1g80170
137806558,LOC137806558,axial regulator YABBY 4,axial regulator YABBY 4
137806559,LOC137806559,uncharacterized LOC137806559,uncharacterized LOC137806559
137806560,LOC137806560,uncharacterized LOC137806560,uncharacterized LOC137806560
137806561,LOC137806561,"CRS2-associated factor 2, chloroplastic",ERROR
137806562,LOC137806562,uncharacterized LOC137806562,ERROR
137806563,LOC137806563,F-box/kelch-repeat protein At1g23390-like,ERROR
137806564,LOC137806564,protein trichome birefringence-like 2,protein trichome birefringence-like 2
137806565,LOC137806565,homeobox protein knotted-1-like 6,homeobox protein knotted-1-like 6
137806566,LOC137806566,uncharacterized LOC137806566,uncharacterized LOC137806566
137806567,LOC137806567,cysteine-rich receptor-like protein kinase 2,cysteine-rich receptor-like protein kinase 2
137806568,LOC137806568,cysteine-rich receptor-like protein kinase 3,cysteine-rich receptor-like protein kinase 3
137806569,LOC137806569,high affinity nitrate transporter 2.5,high affinity nitrate transporter 2.5
137806570,LOC137806570,"alpha-glucan water dikinase, chloroplastic",ERROR
137806571,LOC137806571,"heme-binding-like protein At3g10130, chloroplastic",ERROR
137806572,LOC137806572,protein neprosin-like,ERROR
137806573,LOC137806573,large ribosomal subunit protein mL101 (rPPR4),large ribosomal subunit protein mL101 (rPPR4)
137806574,LOC137806574,AP-1 complex subunit mu-2-like,AP-1 complex subunit mu-2-like
137806575,LOC137806575,uncharacterized LOC137806575,uncharacterized LOC137806575
137806576,LOC137806576,protein POOR HOMOLOGOUS SYNAPSIS 1,ERROR
137806577,LOC137806577,uncharacterized LOC137806577,uncharacterized LOC137806577
137806578,LOC137806578,"amine oxidase [copper-containing] zeta, peroxisomal-like","amine oxidase [copper-containing] zeta, peroxisomal-like"
137806579,LOC137806579,protein DETOXIFICATION 29,protein DETOXIFICATION 29
137806580,LOC137806580,uncharacterized LOC137806580,uncharacterized LOC137806580
137806581,LOC137806581,peptidyl-prolyl cis-trans isomerase FKBP62-like,ERROR
137806582,LOC137806582,BTB/POZ domain-containing protein At1g67900,BTB/POZ domain-containing protein At1g67900
137806583,LOC137806583,uncharacterized LOC137806583,uncharacterized LOC137806583
137806584,LOC137806584,uncharacterized LOC137806584,uncharacterized LOC137806584
137806585,LOC137806585,"inorganic phosphate transporter 2-1, chloroplastic",ERROR
137806586,LOC137806586,uncharacterized LOC137806586,ERROR
137806587,LOC137806587,pentatricopeptide repeat-containing protein At5g27270,ERROR
137806588,LOC137806588,uncharacterized LOC137806588,uncharacterized LOC137806588
137806589,LOC137806589,protein transport protein SEC23 E-like,protein transport protein SEC23 E-like
137806590,LOC137806590,HVA22-like protein c,HVA22-like protein c
137806591,LOC137806591,"PH, RCC1 and FYVE domains-containing protein 1",ERROR
137806592,LOC137806592,probable transcription factor PosF21,ERROR
137806593,LOC137806593,coiled-coil domain-containing protein SCD2-like,ERROR
137806594,LOC137806594,uncharacterized LOC137806594,uncharacterized LOC137806594
137806595,LOC137806595,uncharacterized LOC137806595,uncharacterized LOC137806595
137806596,LOC137806596,F-box/kelch-repeat protein At1g26930-like,F-box/kelch-repeat protein At1g26930-like
137806597,LOC137806597,transcription factor PRE6-like,transcription factor PRE6-like
137806598,LOC137806598,sucrose transport protein SUC3,sucrose transport protein SUC3
137806599,LOC137806599,homeobox-leucine zipper protein ATHB-13-like,homeobox-leucine zipper protein ATHB-13-like
137806600,LOC137806600,transcription factor MYB124-like,ERROR
137806601,LOC137806601,uncharacterized LOC137806601,ERROR
137806602,LOC137806602,actin-related protein 6,ERROR
137806603,LOC137806603,probable serine/threonine-protein kinase PBL3,probable serine/threonine-protein kinase PBL3
137806604,LOC137806604,uncharacterized LOC137806604,uncharacterized LOC137806604
137806605,LOC137806605,protein IQ-DOMAIN 29-like,protein IQ-DOMAIN 29-like
137806606,LOC137806606,probable LRR receptor-like serine/threonine-protein kinase At1g14390,ERROR
137806607,LOC137806607,ubiquitin-conjugating enzyme E2 2,ERROR
137806608,LOC137806608,guanosine nucleotide diphosphate dissociation inhibitor 2-like,ERROR
137806609,LOC137806609,"single-stranded DNA-binding protein WHY1, chloroplastic-like","single-stranded DNA-binding protein WHY1, chloroplastic-like"
137806610,LOC137806610,uncharacterized LOC137806610,uncharacterized LOC137806610
137806611,LOC137806611,pectate lyase-like,pectate lyase-like
137806612,LOC137806612,"alpha-amylase 3, chloroplastic",ERROR
137806613,LOC137806613,mediator of RNA polymerase II transcription subunit 10b-like,ERROR
137806614,LOC137806614,secreted RxLR effector protein 161-like,secreted RxLR effector protein 161-like
137806615,LOC137806615,hypersensitive-induced response protein 2-like,hypersensitive-induced response protein 2-like
137806616,LOC137806616,hypersensitive-induced response protein 1-like,hypersensitive-induced response protein 1-like
137806617,LOC137806617,hypersensitive-induced response protein 1-like,hypersensitive-induced response protein 1-like
137806618,LOC137806618,mitochondrial outer membrane protein porin of 36 kDa-like,mitochondrial outer membrane protein porin of 36 kDa-like
137806619,LOC137806619,protein NRT1/ PTR FAMILY 4.6-like,ERROR
137806620,LOC137806620,uncharacterized LOC137806620,uncharacterized LOC137806620
137806621,LOC137806621,putative pentatricopeptide repeat-containing protein At5g40405,putative pentatricopeptide repeat-containing protein At5g40405
137806622,LOC137806622,homeobox-leucine zipper protein HAT5-like,homeobox-leucine zipper protein HAT5-like
137806623,LOC137806623,protein NRT1/ PTR FAMILY 2.13-like,protein NRT1/ PTR FAMILY 2.13-like
137806624,LOC137806624,probable AMP deaminase,ERROR
137806625,LOC137806625,probable terpene synthase 2,ERROR
137806626,LOC137806626,thioredoxin H2-like,thioredoxin H2-like
137806627,LOC137806627,uncharacterized LOC137806627,uncharacterized LOC137806627
137806628,LOC137806628,toll/interleukin-1 receptor-like protein,toll/interleukin-1 receptor-like protein
137806629,LOC137806629,"pentatricopeptide repeat-containing protein At1g59720, chloroplastic/mitochondrial",ERROR
137806630,LOC137806630,uncharacterized LOC137806630,uncharacterized LOC137806630
137806631,LOC137806631,uncharacterized LOC137806631,uncharacterized LOC137806631
137806632,LOC137806632,"pentatricopeptide repeat-containing protein At1g05670, mitochondrial","pentatricopeptide repeat-containing protein At1g05670, mitochondrial"
137806633,LOC137806633,glutathione S-transferase U17-like,glutathione S-transferase U17-like
137806634,LOC137806634,uncharacterized LOC137806634,uncharacterized LOC137806634
137806635,LOC137806635,uncharacterized LOC137806635,uncharacterized LOC137806635
137806636,LOC137806636,hydroxyproline O-galactosyltransferase GALT6-like,hydroxyproline O-galactosyltransferase GALT6-like
137806637,LOC137806637,MDIS1-interacting receptor like kinase 2-like,MDIS1-interacting receptor like kinase 2-like
137806638,LOC137806638,protein ENHANCED DISEASE RESISTANCE 2-like,ERROR
137806639,LOC137806639,transcription factor BHLH089,transcription factor BHLH089
137806640,LOC137806640,disease resistance protein RPV1-like,disease resistance protein RPV1-like
137806641,LOC137806641,phospholipid-transporting ATPase 3,phospholipid-transporting ATPase 3
137806642,LOC137806642,disease resistance protein RPV1-like,ERROR
137806643,LOC137806643,serine/threonine-protein phosphatase PP2A-2 catalytic subunit,ERROR
137806644,LOC137806644,uncharacterized LOC137806644,ERROR
137806645,LOC137806645,uncharacterized LOC137806645,uncharacterized LOC137806645
137806646,LOC137806646,transcription factor MYB1R1-like,transcription factor MYB1R1-like
137806647,LOC137806647,glycosyltransferase family 92 protein RCOM_0530710-like,glycosyltransferase family 92 protein RCOM_0530710-like
137806648,LOC137806648,AP-3 complex subunit sigma-like,AP-3 complex subunit sigma-like
137806649,LOC137806649,uncharacterized LOC137806649,uncharacterized LOC137806649
137806650,LOC137806650,rac-like GTP-binding protein RAC13,rac-like GTP-binding protein RAC13
137806651,LOC137806651,ras-related protein RABA1f-like,ERROR
137806652,LOC137806652,transcription elongation factor 1 homolog,ERROR
137806653,LOC137806653,transcription factor VOZ1-like,ERROR
137806654,LOC137806654,2-hydroxyisoflavanone synthase-like,2-hydroxyisoflavanone synthase-like
137806655,LOC137806655,mitochondrial inner membrane protease ATP23-like,mitochondrial inner membrane protease ATP23-like
137806656,LOC137806656,type I inositol polyphosphate 5-phosphatase 12-like,type I inositol polyphosphate 5-phosphatase 12-like
137806657,LOC137806657,"probable glucan endo-1,3-beta-glucosidase A6","probable glucan endo-1,3-beta-glucosidase A6"
137806658,LOC137806658,histone H3.2,histone H3.2
137806659,LOC137806659,"outer envelope pore protein 37, chloroplastic","outer envelope pore protein 37, chloroplastic"
137806660,LOC137806660,uncharacterized LOC137806660,ERROR
137806661,LOC137806661,ankyrin repeat protein SKIP35-like,ERROR
137806662,LOC137806662,uncharacterized LOC137806662,ERROR
137806663,LOC137806663,"prolycopene isomerase, chloroplastic","prolycopene isomerase, chloroplastic"
